approach,flavor,mat_a_size,mat_b_size,time-elapsed (s),max-memory-used (KB),additional-info
no_thread,pypy,1024 x 2048,2048 x 4096,240.20,596608,
no_thread,pypy,1024 x 2048,2048 x 4096,240.03,596736,
no_thread,pypy,1024 x 2048,2048 x 4096,241.13,596608,
no_thread,pypy,1024 x 2048,2048 x 4096,240.30,596864,
no_thread,pypy,1024 x 2048,2048 x 4096,240.12,597248,
no_thread,pypy,1024 x 2048,2048 x 4096,245.04,596992,
no_thread,pypy,1024 x 2048,2048 x 4096,240.46,596480,
no_thread,pypy,1024 x 2048,2048 x 4096,242.45,597120,
no_thread,pypy,1024 x 2048,2048 x 4096,242.17,596864,
no_thread,pypy,1024 x 2048,2048 x 4096,243.49,596608,
no_thread,pypy,128 x 256,256 x 512,0.66,69376,
no_thread,pypy,128 x 256,256 x 512,0.68,69376,
no_thread,pypy,128 x 256,256 x 512,0.68,69248,
no_thread,pypy,128 x 256,256 x 512,0.70,69376,
no_thread,pypy,128 x 256,256 x 512,0.69,69376,
no_thread,pypy,128 x 256,256 x 512,0.71,69504,
no_thread,pypy,128 x 256,256 x 512,0.69,69120,
no_thread,pypy,128 x 256,256 x 512,0.72,69376,
no_thread,pypy,128 x 256,256 x 512,0.71,68992,
no_thread,pypy,128 x 256,256 x 512,0.74,69376,
no_thread,pypy,256 x 512,512 x 1024,4.15,91520,
no_thread,pypy,256 x 512,512 x 1024,4.18,91776,
no_thread,pypy,256 x 512,512 x 1024,4.15,91520,
no_thread,pypy,256 x 512,512 x 1024,4.24,91648,
no_thread,pypy,256 x 512,512 x 1024,4.23,91520,
no_thread,pypy,256 x 512,512 x 1024,4.24,91008,
no_thread,pypy,256 x 512,512 x 1024,4.24,91776,
no_thread,pypy,256 x 512,512 x 1024,4.36,91648,
no_thread,pypy,256 x 512,512 x 1024,4.36,91264,
no_thread,pypy,256 x 512,512 x 1024,4.36,92160,
no_thread,pypy,512 x 1024,1024 x 2048,31.09,198144,
no_thread,pypy,512 x 1024,1024 x 2048,30.88,200064,
no_thread,pypy,512 x 1024,1024 x 2048,35.35,198272,
no_thread,pypy,512 x 1024,1024 x 2048,31.18,200320,
no_thread,pypy,512 x 1024,1024 x 2048,31.25,197888,
no_thread,pypy,512 x 1024,1024 x 2048,31.20,197888,
no_thread,pypy,512 x 1024,1024 x 2048,31.30,199936,
no_thread,pypy,512 x 1024,1024 x 2048,31.61,199808,
no_thread,pypy,512 x 1024,1024 x 2048,31.54,198272,
no_thread,pypy,512 x 1024,1024 x 2048,31.65,198016,
numpy,pypy,1024 x 2048,2048 x 4096,102.58,1077728,
numpy,pypy,1024 x 2048,2048 x 4096,101.55,1077432,
numpy,pypy,1024 x 2048,2048 x 4096,101.75,1078084,
numpy,pypy,1024 x 2048,2048 x 4096,103.83,1077604,
numpy,pypy,1024 x 2048,2048 x 4096,102.83,1077204,
numpy,pypy,1024 x 2048,2048 x 4096,102.31,1077752,
numpy,pypy,1024 x 2048,2048 x 4096,103.43,1077636,
